trade_id,trade_reference,security_id,investor_id,executing_broker_id,counterparty_broker_id,trade_side,quantity,price,gross_amount,commission,net_amount,trade_date,trade_time,settlement_date,trade_status,execution_venue,created_at
8c83b348-9181-4432-8b5d-6d691977360a,TRD72146184,6f38dae4-ee54-4ae1-929c-f4daf81de9e5,b8e0a8ea-0362-4a6d-a193-8edfd45f93fe,46e50284-1f79-4347-ba2b-6779013e2f0b,30f2ba30-409a-40bb-8e4a-01bbebce4001,buy,782,224.8384,175823.63,1302.8,177126.43,2024-04-25,2024-04-25T11:54:45,2024-04-26,confirmed,BATS,2024-04-25T11:54:45
99064df4-1676-4975-a5cc-3fffde3d15cc,TRD70369365,9dd3f3d8-9989-4b77-8ec7-6cf68bc322e0,8ec445ac-e261-4e5c-af5e-497374666a4f,f904b42a-45f0-489c-ae47-494d2e593885,1123747e-adef-48b6-9076-c35d0eaea818,sell,580,163.6258,94902.96,843.14,94059.82,2024-05-10,2024-05-10T10:21:41,2024-05-13,confirmed,BATS,2024-05-10T10:21:41
8c572008-b935-4f20-a8bd-8fe1b468d61e,TRD85007641,2a41b0ac-d9ac-4206-9d53-d3cf12789418,ca985471-2735-4384-b563-9201ff130f56,1123747e-adef-48b6-9076-c35d0eaea818,f6811af4-b7dd-45ac-8d04-a0b848838bbd,buy,150751,307.4537,46348952.73,65234.03,46414186.76,2024-02-07,2024-02-07T10:51:48,2024-02-08,confirmed,NYSE American,2024-02-07T10:51:48
07976f51-9b9a-4016-bc51-48432f90e47a,TRD91121400,afc57360-9ed3-4c76-90a9-e1e5a45e6028,fc606292-9d79-447b-9459-b7b7bd1087ae,08ec4439-4afe-4e8b-b8bf-953e0812b040,865e541d-1bc8-4767-9dfc-8de2eb91918c,sell,320,381.2938,122014.02,628.78,121385.24,2024-03-01,2024-03-01T14:48:30,2024-03-04,confirmed,NYSE,2024-03-01T14:48:30
ee13d2a0-3bc1-4f86-83d9-131e16e12e2f,TRD58270683,15b9e50f-4635-49c3-9ae4-50dd198f36d2,0e2aab8d-9300-4ff4-b9c1-a15d2f4d2c2e,79ec2ccc-beff-411c-b42b-5b9e9c82d8cc,d1b6726f-786f-4e8f-ad65-2e422e01ccf5,buy,299448,147.7484,44242962.88,40906.55,44283869.43,2024-08-26,2024-08-26T16:41:22,2024-08-28,confirmed,Deutsche Börse,2024-08-26T16:41:22
b7c0cec3-60f4-4af8-beb8-0af7381c3f62,TRD85500790,f7cb26d2-3f4b-4d96-9231-b104933062e5,8e23f632-2bf5-46e6-8a5e-94ddf93ae54e,1ea13b3a-b518-488c-b749-c28af0130643,bc8de54c-af0d-4dd4-9c3a-b5e34421a5c3,buy,832,2666.3112,2218370.92,21506.89,2239877.81,2024-06-12,2024-06-12T10:23:20,2024-06-14,confirmed,Tokyo Stock Exchange,2024-06-12T10:23:20
2e79a2f5-6d57-4786-9fbe-ff6c19fb633f,TRD60981231,12b2fe80-a2a3-4e6d-93cb-cd4cabdd5b24,08988618-7890-48cf-b3c1-b9451c7edb92,9b2558d6-49eb-4eff-83bc-fa26a134d140,25d1904e-fcf1-4189-8dca-62bc314332d1,buy,277,19.0339,5272.39,57.15,5329.54,2024-08-01,2024-08-01T11:09:12,2024-08-02,confirmed,NYSE,2024-08-01T11:09:12
d6c89ffc-9386-4889-aa93-d36942aae330,TRD28784915,b6e6398e-b632-43cb-a7fc-bc345c19478c,81919da2-b958-4bd9-abf7-02afedc10856,bc8de54c-af0d-4dd4-9c3a-b5e34421a5c3,fe125fc6-48cd-44c0-a96d-40f329e420e0,sell,273,697.8059,190501.01,1883.33,188617.68,2024-08-23,2024-08-23T10:46:50,2024-08-27,confirmed,Tokyo Stock Exchange,2024-08-23T10:46:50
86f1de62-042d-49fb-baa4-3379ccc261bd,TRD99686372,162e6447-5c63-4e04-bc7f-64ea9ac088bb,aaed6e57-951e-4308-b9d0-eed6611d2749,79ec2ccc-beff-411c-b42b-5b9e9c82d8cc,6de90c40-f135-4812-adba-2f2325204007,buy,948,32.1374,30466.26,454.05,30920.31,2024-01-31,2024-01-31T16:02:53,2024-02-02,confirmed,SIX Swiss Exchange,2024-01-31T16:02:53
f60c0738-105e-4788-b2ea-701ca4af8f8c,TRD18113477,9dd3f3d8-9989-4b77-8ec7-6cf68bc322e0,b00e47d6-3813-4e68-bd9d-82d4484c0de5,1123747e-adef-48b6-9076-c35d0eaea818,50c074e7-06ce-44bb-9816-81416263e8e5,sell,150,168.7247,25308.71,185.12,25123.59,2024-03-18,2024-03-18T09:13:32,2024-03-19,confirmed,BATS,2024-03-18T09:13:32
